时间,实发辐照度,辐照度,温度,风速,风向,压强,湿度,实际功率
2020-10-29 00:00:00,0.0,0.0,22.1,2.48,98.109,1013.68,90.666,0.0
2020-10-29 00:05:00,0.0,0.0,22.0,2.58,101.857,1013.78,91.666,0.0
2020-10-29 00:10:00,0.0,0.0,21.897,2.578,91.897,1013.58,89.663,0.0
2020-10-29 00:15:00,0.0,0.0,21.787,2.399,74.393,1013.47,88.653,0.0
2020-10-29 00:20:00,0.0,0.0,21.9,2.361,79.414,1013.68,90.666,0.0
2020-10-29 00:25:00,0.0,0.0,21.889,2.995,85.415,1013.68,92.668,0.0
2020-10-29 00:30:00,0.0,0.0,21.891,2.65,90.827,1013.65,91.664,0.0
2020-10-29 00:35:00,0.0,0.0,21.89,2.597,89.709,1013.63,91.665,0.0
2020-10-29 00:40:00,0.0,0.0,21.89,2.727,99.593,1013.6,91.666,0.0
2020-10-29 00:45:00,0.0,0.0,21.889,1.835,91.026,1013.57,91.666,0.0
2020-10-29 00:50:00,0.0,0.0,21.89,1.904,98.695,1013.57,91.665,0.0
2020-10-29 00:55:00,0.0,0.0,21.68,1.511,93.198,1013.58,91.661,0.0
2020-10-29 01:00:00,0.0,0.0,21.786,2.408,91.507,1013.58,91.663,0.0
2020-10-29 01:05:00,0.0,0.0,21.785,2.443,97.832,1013.37,91.664,0.0
2020-10-29 01:10:00,0.0,0.0,21.578,2.055,93.364,1013.47,91.666,0.0
2020-10-29 01:15:00,0.0,0.0,21.681,3.166,97.852,1013.47,93.671,0.0
2020-10-29 01:20:00,0.0,0.0,21.475,3.351,98.751,1013.47,92.668,0.0
2020-10-29 01:25:00,0.0,0.0,21.575,2.183,108.571,1013.47,92.671,0.0
2020-10-29 01:30:00,0.0,0.0,21.374,2.052,93.659,1013.27,92.671,0.0
2020-10-29 01:35:00,0.0,0.0,21.267,3.106,102.795,1013.16,92.668,0.0
2020-10-29 01:40:00,0.0,0.0,21.368,3.169,88.246,1013.06,94.672,0.0
2020-10-29 01:45:00,0.0,0.0,21.373,3.254,99.862,1012.95,93.666,0.0
2020-10-29 01:50:00,0.0,0.0,21.163,3.012,99.052,1013.05,93.668,0.0
2020-10-29 01:55:00,0.0,0.0,21.266,2.28,112.352,1013.05,93.669,0.0
2020-10-29 02:00:00,0.0,0.0,21.268,2.474,109.228,1012.84,93.667,0.0
2020-10-29 02:05:00,0.0,0.0,21.273,2.247,103.935,1012.96,93.662,0.0
2020-10-29 02:10:00,0.0,0.0,21.269,1.871,108.21,1012.95,93.666,0.0
2020-10-29 02:15:00,0.0,0.0,21.267,3.78,108.475,1012.74,91.664,0.0
2020-10-29 02:20:00,0.0,0.0,21.268,4.031,95.318,1012.85,93.667,0.0
2020-10-29 02:25:00,0.0,0.0,21.272,4.004,108.0,1012.85,93.663,0.0
2020-10-29 02:30:00,0.0,0.0,21.27,3.95,98.066,1012.85,93.665,0.0
2020-10-29 02:35:00,0.0,0.0,21.27,3.402,96.711,1012.63,93.665,0.0
2020-10-29 02:40:00,0.0,0.0,21.27,3.593,93.581,1012.74,93.665,0.0
2020-10-29 02:45:00,0.0,0.0,21.263,3.299,99.512,1012.73,94.67,0.0
2020-10-29 02:50:00,0.0,0.0,21.056,2.812,97.004,1012.52,93.663,0.0
2020-10-29 02:55:00,0.0,0.0,21.159,3.604,106.066,1012.62,93.666,0.0
2020-10-29 03:00:00,0.0,0.0,21.165,3.335,101.169,1012.41,93.66,0.0
2020-10-29 03:05:00,0.0,0.0,21.166,2.949,104.249,1012.56,93.663,0.0
2020-10-29 03:10:00,0.0,0.0,21.168,3.132,95.374,1012.55,93.666,0.0
2020-10-29 03:15:00,0.0,0.0,21.17,3.458,95.713,1012.52,93.668,0.0
2020-10-29 03:20:00,0.0,0.0,21.168,2.925,101.646,1012.51,92.657,0.0
2020-10-29 03:25:00,0.0,0.0,21.156,2.945,94.128,1012.54,93.669,0.0
2020-10-29 03:30:00,0.0,0.0,21.16,3.623,98.973,1012.51,93.666,0.0
2020-10-29 03:35:00,0.0,0.0,21.161,3.304,96.839,1012.52,93.664,0.0
2020-10-29 03:40:00,0.0,0.0,21.164,3.209,108.866,1012.52,93.664,0.0
2020-10-29 03:45:00,0.0,0.0,21.157,3.763,84.703,1012.51,93.668,0.0
2020-10-29 03:50:00,0.0,0.0,20.946,3.743,93.088,1012.52,94.679,0.0
2020-10-29 03:55:00,0.0,0.0,21.068,2.864,93.745,1012.51,93.676,0.0
2020-10-29 04:00:00,0.0,0.0,21.054,2.612,95.282,1012.3,93.671,0.0
2020-10-29 04:05:00,0.0,0.0,20.842,3.06,97.449,1012.66,93.674,0.0
